order_id,customer_id,product_id,order_date,quantity,order_amount,order_status
O000001,C04758,P0040,2024-06-30,4,22141,Completed
O000002,C04968,P0073,2024-03-01,2,7412,Completed
O000003,C01214,P0186,2024-01-06,3,61579,Completed
O000004,C02097,P0086,2024-10-26,2,51304,Cancelled
O000005,C02051,P0052,2024-04-18,3,9994,Cancelled
O000006,C04077,P0012,2024-01-29,5,46875,Completed
O000007,C00009,P0135,2024-05-19,2,24597,Completed
O000008,C00578,P0013,2024-05-17,4,11967,Cancelled
O000009,C04964,P0005,2024-04-25,3,27167,Completed
O000010,C00606,P0100,2024-04-22,2,72930,Completed
O000011,C04993,P0125,2024-10-08,3,63256,Cancelled
O000012,C04964,P0162,2024-09-18,1,27246,Completed
O000013,C02339,P0092,2024-01-05,4,14311,Completed
O000014,C01287,P0167,2024-02-03,5,6932,Returned
O000015,C02067,P0194,2024-05-18,4,16714,Returned
O000016,C02043,P0141,2024-03-19,3,15612,Returned
O000017,C01570,P0184,2024-05-01,5,6132,Cancelled
O000018,C04048,P0183,2024-04-28,5,17132,Cancelled
O000019,C04885,P0015,2024-03-07,2,78996,Cancelled
O000020,C02078,P0161,2024-10-15,3,59429,Cancelled
O000021,C00974,P0176,2024-06-05,4,7122,Completed
O000022,C01130,P0131,2024-03-07,5,4608,Completed
O000023,C01334,P0069,2024-04-11,5,10131,Completed
O000024,C02374,P0130,2024-04-08,2,68172,Completed
O000025,C01027,P0106,2024-10-09,1,5882,Completed
O000026,C00919,P0146,2024-04-29,2,9564,Returned
O000027,C01506,P0044,2024-10-01,3,55409,Cancelled
O000028,C02749,P0061,2024-04-29,5,57073,Completed
O000029,C00619,P0131,2024-03-25,4,40802,Returned
O000030,C03585,P0197,2024-03-15,5,54282,Completed
O000031,C00563,P0145,2024-07-26,3,17006,Completed
O000032,C01604,P0034,2024-06-20,1,57827,Completed
O000033,C00253,P0033,2024-01-02,4,62512,Cancelled
O000034,C03247,P0102,2024-06-17,5,61334,Cancelled
O000035,C00524,P0087,2024-01-14,1,8895,Cancelled
O000036,C00770,P0022,2024-06-07,3,37728,Returned
O000037,C03779,P0055,2024-04-15,5,16891,Returned
O000038,C02650,P0061,2024-07-05,4,74167,Cancelled
O000039,C02498,P0009,2024-06-27,5,73221,Completed
O000040,C00734,P0154,2024-02-01,3,23221,Completed
O000041,C00860,P0105,2024-03-25,4,53043,Completed
O000042,C00075,P0090,2024-04-08,5,57699,Completed
O000043,C01043,P0177,2024-08-10,3,18346,Completed
O000044,C01122,P0081,2024-06-06,2,3457,Completed
O000045,C04918,P0073,2024-08-31,3,74647,Completed
O000046,C02152,P0080,2024-02-03,3,34451,Returned
O000047,C03187,P0110,2024-04-07,5,56802,Completed
O000048,C00028,P0082,2024-04-03,2,79924,Cancelled
O000049,C04839,P0067,2024-03-30,4,60137,Returned
O000050,C04660,P0178,2024-08-20,1,47749,Cancelled
O000051,C00961,P0114,2024-04-03,5,54453,Completed
O000052,C00944,P0056,2024-02-13,3,42842,Completed
O000053,C02530,P0186,2024-01-21,5,685,Completed
O000054,C04649,P0003,2024-08-15,4,30222,Completed
O000055,C02462,P0174,2024-05-02,3,62517,Returned
O000056,C00648,P0160,2024-08-25,4,26233,Returned
O000057,C04813,P0065,2024-01-06,4,38929,Returned
O000058,C03607,P0033,2024-03-13,4,28781,Completed
O000059,C03931,P0199,2024-04-28,5,43718,Completed
O000060,C02897,P0041,2024-10-24,2,50936,Completed
O000061,C02674,P0065,2024-09-24,3,42416,Cancelled
O000062,C04486,P0121,2024-08-26,1,41638,Completed
O000063,C02544,P0118,2024-08-11,2,21460,Cancelled
O000064,C00102,P0097,2024-06-11,2,51714,Completed
O000065,C03195,P0129,2024-02-17,1,67572,Completed
O000066,C03120,P0171,2024-02-09,5,59754,Completed
O000067,C04873,P0156,2024-04-29,4,77197,Completed
O000068,C04550,P0192,2024-07-30,2,2874,Completed
O000069,C04749,P0200,2024-10-08,3,38754,Returned
O000070,C04507,P0140,2024-08-03,4,63439,Completed
O000071,C04143,P0170,2024-10-26,5,76975,Cancelled
O000072,C00576,P0126,2024-03-29,1,34324,Completed
O000073,C03825,P0175,2024-05-30,2,71597,Returned
O000074,C00891,P0027,2024-06-16,4,19110,Completed
O000075,C02831,P0019,2024-08-13,4,30307,Completed
O000076,C02144,P0081,2024-09-27,3,31043,Completed
O000077,C03976,P0084,2024-03-10,4,73419,Cancelled
O000078,C03629,P0072,2024-03-27,4,953,Completed
O000079,C04372,P0149,2024-09-13,5,76744,Completed
O000080,C00883,P0040,2024-08-08,1,31724,Returned
O000081,C03001,P0006,2024-04-21,4,79984,Cancelled
O000082,C03643,P0169,2024-01-12,4,77885,Completed
O000083,C03139,P0183,2024-01-18,2,30864,Returned
O000084,C03482,P0183,2024-03-08,5,38301,Returned
O000085,C02891,P0015,2024-02-12,2,25346,Completed
O000086,C02669,P0047,2024-04-21,2,37357,Completed
O000087,C03967,P0198,2024-09-24,3,7455,Completed
O000088,C02203,P0173,2024-09-17,5,23285,Returned
O000089,C04266,P0001,2024-06-04,3,-500,Completed
O000090,C01389,P0152,2024-10-07,5,43498,Returned
O000091,C02916,P0175,2024-09-11,1,18158,Cancelled
O000092,C04757,P0038,2024-03-29,2,39177,Returned
O000093,C04108,P0147,2024-01-28,4,77034,Completed
O000094,C04580,P0127,2024-10-14,5,31306,Cancelled
O000095,C03049,P0077,2024-06-30,3,33509,Completed
O000096,C00026,P0099,2024-09-26,4,56849,Returned
O000097,C02484,P0140,2024-02-28,3,37134,Cancelled
O000098,C02788,P0180,2024-10-01,3,50929,Cancelled
O000099,C00577,P0004,2024-09-04,3,65789,Completed
O000100,C00934,P0100,2024-08-15,4,45366,Returned
O000101,C99999,P0100,2024-02-22,4,50442,Completed
O000102,C01163,P0165,2024-02-14,2,71798,Completed
O000103,C04184,P0067,2024-09-29,4,58339,Cancelled
O000104,C03577,P0084,2024-03-23,4,26433,Completed
O000105,C00189,P0130,2024-05-13,4,51405,Completed
O000106,C00482,P0007,2024-06-08,3,65576,Completed
O000107,C00497,P0032,2024-02-14,3,9435,Cancelled
O000108,C04954,P0193,2024-09-16,1,8232,Cancelled
O000109,C04147,P0152,2024-06-18,1,63431,Returned
O000110,C03674,P0056,2024-02-28,1,16216,Cancelled
O000111,C00359,P0069,2024-04-30,5,24893,Completed
O000112,C00386,P0197,2024-03-25,1,2694,Cancelled
O000113,C01866,P0183,InvalidDate,1,26973,Returned
O000114,C00833,P0084,2024-03-02,5,40238,Completed
O000115,C01789,P0121,2024-01-27,3,70678,Cancelled
O000116,C00674,P0194,2024-02-26,4,51440,Completed
O000117,C03105,P0012,2024-04-18,3,71875,Completed
O000118,C02439,P0091,2024-08-07,2,78458,Returned
O000119,C03543,P0193,2024-04-17,3,71244,Returned
O000120,C01654,P0111,2024-08-21,3,51702,Returned
O000121,C03477,P0117,2024-06-25,3,70054,Returned
O000122,C01545,P0001,2024-08-14,1,69389,Completed
O000123,C03715,P0103,2024-04-13,1,68644,Cancelled
O000124,C04283,P0053,2024-08-23,2,38600,Cancelled
O000125,C04368,P0003,2024-04-04,3,29734,Returned
O000126,C04777,P0155,2024-02-09,4,39260,Returned
O000127,C02533,P0021,2024-09-16,2,63017,Completed
O000128,C00360,P0044,2024-03-03,4,62236,Completed
O000129,C00612,P0007,2024-09-07,1,67543,Cancelled
O000130,C03145,P0016,2024-01-28,1,59859,Cancelled
O000131,C01643,P0016,2024-08-30,4,50132,Cancelled
O000132,C03925,P0154,2024-05-13,2,58483,Completed
O000133,C04682,P0135,2024-04-11,4,59591,Cancelled
O000134,C04921,P0154,2024-04-24,3,77365,Completed
O000135,C04037,P0177,2024-02-29,3,78246,Cancelled
O000136,C03299,P0107,2024-10-02,5,56514,Completed
O000137,C03433,P9999,2024-07-08,5,5384,Completed
O000138,C01891,P0027,2024-09-03,3,64677,Cancelled
O000139,C03248,P0010,2024-01-31,2,10747,Completed
O000140,C01760,P0053,2024-07-04,1,23205,Completed
O000141,C00047,P0167,2024-02-29,3,58767,Completed
O000142,C02558,P0006,2024-06-12,3,61662,Completed
O000143,C02132,P0029,2024-01-29,2,37565,Returned
O000144,C04784,P0002,2024-02-04,4,3554,Completed
O000145,C03373,P0116,2024-08-04,2,31132,Completed
O000146,C03795,P0187,2024-04-06,3,48423,Completed
O000147,C01065,P0177,2024-08-28,5,35063,Returned
O000148,C02650,P0160,2024-02-24,1,50626,Completed
O000149,C02604,P0048,2024-06-07,5,78870,Completed
O000150,C01716,P0003,2024-04-15,1,76251,Returned
O000151,C01285,P0015,2024-03-31,3,29384,Completed
O000152,C03460,P0022,2024-08-31,4,78218,Returned
O000153,C04939,P0001,2024-02-29,4,77745,Returned
O000154,C02762,P0061,2024-02-03,3,26705,Cancelled
O000155,C03750,P0098,2024-05-30,2,72658,Returned
O000156,C02976,P0168,2024-02-05,4,39862,Completed
O000157,C01059,P0185,2024-02-26,2,12014,Cancelled
O000158,C03228,P0190,2024-07-27,4,67149,Returned
O000159,C00590,P0109,2024-06-11,2,881,Cancelled
O000160,C03168,P0002,2024-04-27,1,37810,Cancelled
O000161,C02653,P0010,2024-03-06,3,49072,Completed
O000162,C01183,P0026,2024-06-25,4,3906,Completed
O000163,C01851,P0152,2024-07-31,4,14849,Completed
O000164,C00656,P0099,2024-07-16,1,24401,Completed
O000165,C04231,P0047,2024-09-06,1,37759,Returned
O000166,C01394,P0120,2024-02-13,1,47352,Cancelled
O000167,C03639,P0040,2024-06-28,5,59959,Completed
O000168,C00574,P0090,2024-04-20,3,57936,Returned
O000169,C03236,P0049,2024-02-15,3,38083,Returned
O000170,C00500,P0159,2024-04-01,1,15556,Returned
O000171,C01110,P0168,2024-10-03,3,33659,Cancelled
O000172,C03844,P0017,2024-09-29,5,78408,Cancelled
O000173,C01026,P0019,2024-01-01,4,10923,Cancelled
O000174,C02884,P0080,2024-09-15,4,62386,Returned
O000175,C03411,P0043,2024-04-06,5,73140,Completed
O000176,C01531,P0144,2024-08-01,3,1179,Cancelled
O000177,C01528,P0081,2024-04-17,4,9660,Completed
O000178,C04169,P0093,2024-10-14,2,-500,Completed
O000179,C00887,P0194,2024-03-31,2,30630,Completed
O000180,C01607,P0030,2024-10-22,2,67638,Cancelled
O000181,C04304,P0158,2024-08-09,2,75865,Completed
O000182,C02521,P0177,2024-09-25,4,18811,Completed
O000183,C00175,P0045,2024-08-31,1,9407,Returned
O000184,C00971,P0123,2024-07-30,2,4016,Returned
O000185,C02493,P0132,2024-01-12,2,57641,Cancelled
O000186,C03989,P0012,2024-07-25,4,55532,Completed
O000187,C01679,P0198,2024-07-01,5,56179,Returned
O000188,C04743,P0104,2024-01-06,4,3547,Completed
O000189,C01208,P0198,2024-08-28,3,13677,Completed
O000190,C04438,P0155,2024-05-18,3,12808,Completed
O000191,C01853,P0174,2024-05-07,3,11268,Completed
O000192,C02328,P0186,2024-05-03,2,75242,Returned
O000193,C01677,P0013,2024-05-29,4,75492,Completed
O000194,C00723,P0145,2024-05-03,1,28679,Returned
O000195,C03857,P0190,2024-03-26,4,21953,Completed
O000196,C00142,P0104,2024-09-08,5,40182,Completed
O000197,C00771,P0014,2024-08-24,1,72189,Cancelled
O000198,C00451,P0140,2024-06-26,4,79971,Completed
O000199,C00560,P0161,2024-02-11,5,34011,Cancelled
O000200,C04064,P0035,2024-10-13,1,7967,Returned
O000201,C02732,P0092,2024-09-07,5,10392,Completed
O000202,C99999,P0045,2024-08-15,4,62222,Returned
O000203,C02190,P0085,2024-01-03,4,69729,Completed
